Company Name,Industry,Symbol,Series,ISIN Code
Bharat Forge Ltd.,AUTOMOBILE AND AUTO COMPONENTS,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,CAPITAL GOODS,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,OIL GAS & CONSUMABLE FUELS,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOMMUNICATION,BHARTIARTL,EQ,INE397D01024
Billionbrains Garage Ventures Ltd.,FINANCIAL SERVICES,GROWW,EQ,INE0HOQ01053
Biocon Ltd.,HEALTHCARE,BIOCON,EQ,INE376G01013
Blue Star Ltd.,CONSUMER DURABLES,BLUESTARCO,EQ,INE472A01039
Bosch Ltd.,AUTOMOBILE AND AUTO COMPONENTS,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,FAST MOVING CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
CG Power and Industrial Solutions Ltd.,CAPITAL GOODS,CGPOWER,EQ,INE067A01029
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01022
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
Cipla Ltd.,HEALTHCARE,CIPLA,EQ,INE059A01026
Coal India Ltd.,OIL GAS & CONSUMABLE FUELS,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,CAPITAL GOODS,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,INFORMATION TECHNOLOGY,COFORGE,EQ,INE591G01025
Colgate Palmolive (India) Ltd.,FAST MOVING CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,CHEMICALS,COROMANDEL,EQ,INE169A01031
Cummins India Ltd.,CAPITAL GOODS,CUMMINSIND,EQ,INE298A01020
DLF Ltd.,REALTY,DLF,EQ,INE271C01023
Dabur India Ltd.,FAST MOVING CONSUMER GOODS,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,HEALTHCARE,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,CONSUMER DURABLES,DIXON,EQ,INE935N01020
Dr. Reddy's Laboratories Ltd.,HEALTHCARE,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,AUTOMOBILE AND AUTO COMPONENTS,EICHERMOT,EQ,INE066A01021
Eternal Ltd.,CONSUMER SERVICES,ETERNAL,EQ,INE758T01015
Exide Industries Ltd.,AUTOMOBILE AND AUTO COMPONENTS,EXIDEIND,EQ,INE302A01020
FSN E-Commerce Ventures Ltd.,CONSUMER SERVICES,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,HEALTHCARE,FORTIS,EQ,INE061F01013
GAIL (India) Ltd.,OIL GAS & CONSUMABLE FUELS,GAIL,EQ,INE129A01019
GE Vernova T&D India Ltd.,CAPITAL GOODS,GVT&D,EQ,INE200A01026
GMR Airports Ltd.,SERVICES,GMRAIRPORT,EQ,INE776C01039
Glenmark Pharmaceuticals Ltd.,HEALTHCARE,GLENMARK,EQ,INE935A01035
Godfrey Phillips India Ltd.,FAST MOVING CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Godrej Consumer Products Ltd.,FAST MOVING CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Godrej Properties Ltd.,REALTY,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,CONSTRUCTION MATERIALS,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,INFORMATION TECHNOLOGY,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,CONSUMER DURABLES,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE AND AUTO COMPONENTS,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,METALS & MINING,HINDALCO,EQ,INE038A01020
Hindustan Aeronautics Ltd.,CAPITAL GOODS,HAL,EQ,INE066F01020
Hindustan Petroleum Corporation Ltd.,OIL GAS & CONSUMABLE FUELS,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,FAST MOVING CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,METALS & MINING,HINDZINC,EQ,INE267A01025
Hitachi Energy India Ltd.,CAPITAL GOODS,POWERINDIA,EQ,INE07Y701011
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,EQ,INE031A01017
Hyundai Motor India Ltd.,AUTOMOBILE AND AUTO COMPONENTS,HYUNDAI,EQ,INE0V6F01027
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Asset Management Company Ltd.,FINANCIAL SERVICES,ICICIAMC,EQ,INE346A01027
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
ITC Ltd.,FAST MOVING CONSUMER GOODS,ITC,EQ,INE154A01025
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,CONSUMER SERVICES,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,OIL GAS & CONSUMABLE FUELS,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,CONSUMER SERVICES,IRCTC,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,FINANCIAL SERVICES,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,FINANCIAL SERVICES,IREDA,EQ,INE202E01016
Indus Towers Ltd.,TELECOMMUNICATION,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01032
Infosys Ltd.,INFORMATION TECHNOLOGY,INFY,EQ,INE009A01021
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
JSW Energy Ltd.,POWER,JSWENERGY,EQ,INE121E01018
JSW Steel Ltd.,METALS & MINING,JSWSTEEL,EQ,INE019A01038
Jindal Steel Ltd.,METALS & MINING,JINDALSTEL,EQ,INE749A01030
Jio Financial Services Ltd.,FINANCIAL SERVICES,JIOFIN,EQ,INE758E01017
Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD,EQ,INE797F01020
KEI Industries Ltd.,CAPITAL GOODS,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,INFORMATION TECHNOLOGY,KPITTECH,EQ,INE04I401011
Kalyan Jewellers India Ltd.,CONSUMER DURABLES,KALYANKJIL,EQ,INE303R01014
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01036
L&T Finance Ltd.,FINANCIAL SERVICES,LTF,EQ,INE498L01015
LG Electronics India Ltd.,CONSUMER DURABLES,LGEINDIA,EQ,INE324D01010
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
LTM Ltd.,INFORMATION TECHNOLOGY,LTM,EQ,INE214T01019
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
Laurus Labs Ltd.,HEALTHCARE,LAURUSLABS,EQ,INE947Q01028
Lenskart Solutions Ltd.,CONSUMER SERVICES,LENSKART,EQ,INE956O01016
Lodha Developers Ltd.,REALTY,LODHA,EQ,INE670K01029
Lupin Ltd.,HEALTHCARE,LUPIN,EQ,INE326A01037
MRF Ltd.,AUTOMOBILE AND AUTO COMPONENTS,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,AUTOMOBILE AND AUTO COMPONENTS,M&M,EQ,INE101A01026
Mankind Pharma Ltd.,HEALTHCARE,MANKIND,EQ,INE634S01028
Marico Ltd.,FAST MOVING CONSUMER GOODS,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,AUTOMOBILE AND AUTO COMPONENTS,MARUTI,EQ,INE585B01010
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,HEALTHCARE,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,CAPITAL GOODS,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,INFORMATION TECHNOLOGY,MPHASIS,EQ,INE356A01018
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NHPC Ltd.,POWER,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS & MINING,NMDC,EQ,INE584A01023
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,METALS & MINING,NATIONALUM,EQ,INE139A01034
Nestle India Ltd.,FAST MOVING CONSUMER GOODS,NESTLEIND,EQ,INE239A01024
Oberoi Realty Ltd.,REALTY,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation Ltd.,OIL GAS & CONSUMABLE FUELS,ONGC,EQ,INE213A01029
Oil India Ltd.,OIL GAS & CONSUMABLE FUELS,OIL,EQ,INE274J01014
One 97 Communications Ltd.,FINANCIAL SERVICES,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,INFORMATION TECHNOLOGY,OFSS,EQ,INE881D01027
PB Fintech Ltd.,FINANCIAL SERVICES,POLICYBZR,EQ,INE417T01026
PI Industries Ltd.,CHEMICALS,PIIND,EQ,INE603J01030
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,FAST MOVING CONSUMER GOODS,PATANJALI,EQ,INE619A01035
Persistent Systems Ltd.,INFORMATION TECHNOLOGY,PERSISTENT,EQ,INE262H01021
Phoenix Mills Ltd.,REALTY,PHOENIXLTD,EQ,INE211B01039
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Polycab India Ltd.,CAPITAL GOODS,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
Premier Energies Ltd.,CAPITAL GOODS,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects Ltd.,REALTY,PRESTIGE,EQ,INE811K01011
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Radico Khaitan Ltd,FAST MOVING CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Reliance Industries Ltd.,OIL GAS & CONSUMABLE FUELS,RELIANCE,EQ,INE002A01018
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010
Samvardhana Motherson International Ltd.,AUTOMOBILE AND AUTO COMPONENTS,MOTHERSON,EQ,INE775A01035
Shree Cement Ltd.,CONSTRUCTION MATERIALS,SHREECEM,EQ,INE070A01015
Shriram Finance Ltd.,FINANCIAL SERVICES,SHRIRAMFIN,EQ,INE721A01047
Siemens Energy India Ltd.,CAPITAL GOODS,ENRIN,EQ,INE1NPP01017
Siemens Ltd.,CAPITAL GOODS,SIEMENS,EQ,INE003A01024
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,EQ,INE343H01029
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,METALS & MINING,SAIL,EQ,INE114A01011
Sun Pharmaceutical Industries Ltd.,HEALTHCARE,SUNPHARMA,EQ,INE044A01036
Supreme Industries Ltd.,CAPITAL GOODS,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,CAPITAL GOODS,SUZLON,EQ,INE040H01021
Swiggy Ltd.,CONSUMER SERVICES,SWIGGY,EQ,INE00H001014
TVS Motor Company Ltd.,AUTOMOBILE AND AUTO COMPONENTS,TVSMOTOR,EQ,INE494B01023
Tata Capital Ltd.,FINANCIAL SERVICES,TATACAP,EQ,INE976I01016
Tata Communications Ltd.,TELECOMMUNICATION,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,INFORMATION TECHNOLOGY,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,FAST MOVING CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,INFORMATION TECHNOLOGY,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01026
Tata Motors Ltd.,CAPITAL GOODS,TMCV,EQ,INE1TAE01010
Tata Motors Passenger Vehicles Ltd.,AUTOMOBILE AND AUTO COMPONENTS,TMPV,EQ,INE155A01022
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS & MINING,TATASTEEL,EQ,INE081A01020
Tech Mahindra Ltd.,INFORMATION TECHNOLOGY,TECHM,EQ,INE669C01036
Titan Company Ltd.,CONSUMER DURABLES,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,HEALTHCARE,TORNTPHARM,EQ,INE685A01028
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
Tube Investments of India Ltd.,AUTOMOBILE AND AUTO COMPONENTS,TIINDIA,EQ,INE974X01010
UPL Ltd.,CHEMICALS,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,CONSTRUCTION MATERIALS,ULTRACEMCO,EQ,INE481G01011
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
United Spirits Ltd.,FAST MOVING CONSUMER GOODS,UNITDSPR,EQ,INE854D01024
Varun Beverages Ltd.,FAST MOVING CONSUMER GOODS,VBL,EQ,INE200M01039
Vedanta Ltd.,METALS & MINING,VEDL,EQ,INE205A01025
Vishal Mega Mart Ltd.,CONSUMER SERVICES,VMM,EQ,INE01EA01019
Vodafone Idea Ltd.,TELECOMMUNICATION,IDEA,EQ,INE669E01016
Voltas Ltd.,CONSUMER DURABLES,VOLTAS,EQ,INE226A01021
Waaree Energies Ltd.,CAPITAL GOODS,WAAREEENER,EQ,INE377N01017
Wipro Ltd.,INFORMATION TECHNOLOGY,WIPRO,EQ,INE075A01022
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035
Zydus Lifesciences Ltd.,HEALTHCARE,ZYDUSLIFE,EQ,INE010B01027
